date,symbol,close,SMA_20,SMA_50,RSI,MACD,Signal
2024-12-29,SRLI,421.3,863.5834999999958,933.9335999999853,47.86751420183047,-36.888968730797956,SELL
2024-12-29,SPC,508.8,805.9284999999957,938.7115999999853,48.21890321786318,-67.97277265048422,SELL
2024-12-29,HOTELS,6387.9,1104.3234999999956,1066.2815999999852,65.19423863346913,377.4364723999097,BUY
2024-12-29,KDBY,9.55,1063.1309999999955,1066.2761999999855,47.13880658326148,213.2883142781393,HOLD
2024-12-29,KEF,8.85,985.0234999999955,1066.2595999999853,47.13726368456464,82.19573097158832,HOLD
2024-12-29,MANDU,882.1,988.6284999999955,1064.9615999999853,49.36387558019496,48.21213173173692,SELL
2024-12-29,MAKAR,602.0,1000.7334999999954,1055.6015999999854,48.65594608881962,-1.3067808548332778,SELL
2024-12-29,LVF2,9.06,996.2489999999955,1042.6427999999853,47.115567388174085,-87.38881458100832,SELL
2024-12-29,SMH,1016.0,1023.5239999999955,1052.9087999999854,50.00992947212931,-73.51042146526504,SELL
2024-12-29,LUK,9.41,983.9944999999955,1036.7769999999855,47.22732148209816,-142.09708872255715,SELL
2024-12-29,SAPDBL,872.1,979.3494999999954,1033.4009999999853,49.80508088766778,-125.39516604695916,SELL
2024-12-29,LSL,239.0,958.7994999999953,1037.7741999999855,47.95385669755409,-161.38431305557083,SELL
2024-12-29,LLBS,1124.0,1005.1494999999953,1028.9741999999853,50.711791771218564,-117.14351013575867,SELL
2024-12-29,SMHL,1200.1,1036.5994999999953,1037.7481999999854,50.95247104173498,-75.07628835943001,BUY
2024-12-29,LIFEINSU,12444.33,1608.3159999999953,1267.6767999999854,72.39881122282644,855.7135439537556,BUY
2024-12-29,LICN,1145.0,1599.3159999999953,1277.5567999999853,49.143949203397796,673.8420616469491,BUY
2024-12-29,LEC,199.1,1576.6659999999952,1277.1187999999854,47.76091727211554,448.21463748467113,BUY
2024-12-29,AHPC,249.0,1417.3999999999953,1274.5987999999854,47.8443053361919,270.3137822295,BUY
2024-12-29,SMJC,512.0,1431.7799999999952,1277.9787999999853,48.31261465380635,148.83232831471332,SELL
2024-12-29,LBBL,473.7,1415.6649999999952,1273.8727999999853,48.244677369927615,48.9031854662087,SELL
2024-12-29,SMPDA,940.0,1441.5999999999954,1292.4981999999852,49.181634361943054,7.251541519759712,SELL
2024-12-29,KSY,9.0,1416.6099999999954,1243.4461999999853,47.33894487136119,-99.73195777184287,SELL
2024-12-29,KSBBL,432.9,1118.8599999999956,1243.1461999999854,48.28896079931144,-148.59900755561307,SELL
2024-12-29,SNLI,622.0,1149.4824999999955,1212.3861999999854,48.73327449984349,-170.1068214026626,SELL
2024-12-29,KPCL,524.9,1175.2849999999958,1216.2841999999853,48.50281967204649,-192.76500237795608,SELL
2024-12-29,KMCDB,1107.0,1186.5299999999957,1212.8241999999852,50.02843901250036,-161.88505867053118,SELL
2024-12-29,KKHC,367.9,1174.8249999999957,1084.9313999999854,48.08072999709019,-194.80607076675915,SELL
2024-12-29,SONA,454.0,1197.0719999999958,1054.0113999999853,48.33308058610587,-211.51049824082088,SELL
2024-12-29,KDL,1119.9,1202.2669999999957,1025.6693999999852,50.34330304145301,-169.06740867501946,SELL
2024-12-29,WNLB,2618.8,1332.7364999999959,1073.6593999999852,54.62302379225795,-14.317211337995332,BUY
